Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,539309,323400,178023,40.35,40.65,B ,71.83
230120,539310,380792,146467,81.9,82.35,B ,119.96
230120,539312,212,160,645.05,647.0,A ,1.03
230120,539313,67,52,1922.75,1934.52,B ,1.0
230120,539314,17378,14225,110.4,112.2,B ,15.7
230120,539331,5534,4368,108.6,109.45,B ,4.74
230120,539332,170477,45889,62.9,64.75,B ,28.86
230120,539334,2159,1683,178.25,178.45,B ,3.0
230120,539336,68284,37833,461.15,455.5,A ,174.47
230120,539337,7000,5600,143.0,142.55,M ,8.01
230120,539346,16197,11018,5.62,5.66,B ,0.62
230120,539353,994,934,244.4,232.8,X ,2.28
230120,539354,2157,1876,59.65,62.5,X ,1.12
230120,539359,76543,49133,17.05,17.5,B ,8.38
230120,539383,541,541,8.48,8.9,Z ,0.05
230120,539384,7064,7064,20.6,19.65,XT,1.46
230120,539391,728,728,19.05,19.5,Z ,0.14
230120,539398,6156,5522,79.15,79.15,B ,4.37
230120,539399,771,421,142.75,140.45,B ,0.6
230120,539400,58,44,714.9,732.9,B ,0.31
230120,539402,21777,21777,22.95,21.9,B ,5.0
230120,539404,3677,1449,153.25,154.0,B ,2.22
230120,539405,768,768,16.0,16.8,X ,0.12
230120,539406,209,209,61.85,58.95,XT,0.13
230120,539407,294787,253266,67.05,68.55,B ,169.81
230120,539409,189,189,17.2,17.2,XT,0.03
230120,539410,80399,55002,2.34,2.34,X ,1.29
230120,539428,11577,5803,124.05,125.6,B ,7.2
230120,539436,112718,49453,45.85,46.1,A ,22.67
230120,539437,2036574,681875,59.35,59.45,A ,404.69
230120,539447,13774,11804,24.1,24.65,B ,2.84
230120,539448,17720,4514,2100.95,2121.6,A ,94.84
230120,539450,9128,5306,141.95,141.3,B ,7.53
230120,539469,25,25,139.9,133.6,X ,0.03
230120,539470,1022756,672922,1.43,1.42,X ,9.62
230120,539479,2043,1918,279.55,289.1,X ,5.36
230120,539480,57,54,195.12,191.7,B ,0.11
230120,539492,3045,3045,34.3,34.3,XT,1.04
230120,539494,11723,9320,7.61,7.6,X ,0.71
230120,539506,162480,162480,5.52,5.26,XT,8.97
230120,539515,5431,2841,165.95,173.55,X ,4.71
230120,539516,350,285,195.97,195.66,B ,0.56
230120,539517,757,602,663.1,661.86,A ,3.99
230120,539518,9337,7671,131.3,127.8,X ,10.07
230120,539519,5270,5270,10.9,11.12,XT,0.57
230120,539522,1,1,114.0,111.2,XT,0.0
230120,539523,1085,585,3029.3,3034.95,A ,17.72
230120,539524,7382,2883,2105.65,2128.35,A ,60.71
230120,539526,1612040,993807,1.03,1.04,B ,10.24
230120,539527,79,47,484.55,485.65,X ,0.23
230120,539528,101087,100947,27.55,26.25,X ,27.81
230120,539542,1312,658,1515.05,1517.0,B ,9.97
230120,539545,1711,1209,41.85,41.1,X ,0.51
230120,539546,25778,4969,73.1,72.8,X ,3.63
230120,539551,4843,2661,728.95,745.05,A ,19.4
230120,539559,77256,77256,16.0,152.65,XT,12.36
230120,539561,8502,4449,202.65,168.9,X ,9.02
230120,539562,20122,15075,42.65,43.25,X ,6.43
